playerID,name,position,age,PER,usage%,gp,yr,draftyr
wickssi01,Sidney Wicks,POWER FORWARD,23,20.3,0.0,80,1973,1972
willina01,Nate Williams,SHOOTING GUARD,24,17.8,0.0,85,1975,1972
wohlda01,Dave Wohl,POINT GUARD,24,13.4,0.0,67,1974,1972
bibbyhe01,Henry Bibby,POINT GUARD,24,15.7,0.0,66,1974,1973
boydfr01,Freddie Boyd,POINT GUARD,26,12.6,0.0,47,1977,1973
calhoco01,Corky Calhoun,SMALL FORWARD,24,11.2,0.0,70,1975,1973
dudlech01,Charles Dudley,POINT GUARD,25,16.1,0.0,82,1976,1975
fordch01,Chris Ford,SHOOTING GUARD,28,14.6,0.0,82,1977,1973
gianejo01,John Gianelli,CENTER,23,13.0,0.0,70,1974,1973
johnsch01,Charles Johnson,POINT GUARD,26,14.2,0.0,81,1976,1973
johnsol01,Ollie Johnson,SMALL FORWARD,28,13.9,18.5,82,1978,1973
mcadobo01,Bob McAdoo,CENTER,23,25.8,0.0,82,1975,1973
nealll01,Lloyd Neal,POWER FORWARD,27,19.8,24.0,61,1978,1973
porteke01,Kevin Porter,POINT GUARD,28,17.2,19.4,82,1979,1973
priceji01,Jim Price,POINT GUARD,25,17.55,0.0,50,1975,1973
westppa01,Paul Westphal,SHOOTING GUARD,27,23.8,30.9,80,1978,1973
bantomi01,Mike Bantom,POWER FORWARD,25,16.5,0.0,77,1977,1974
behagro01,Ron Behagen,POWER FORWARD,25,16.3,0.0,66,1976,1974
breweji01,Jim Brewer,POWER FORWARD,24,14.9,0.0,82,1976,1974
bristal01,Allan Bristow,SMALL FORWARD,28,16.6,20.0,82,1980,1974
brownjo01,John Brown,SMALL FORWARD,23,13.9,0.0,73,1975,1974
colemec01,E.C. Coleman,POWER FORWARD,23,11.3,0.0,58,1974,1974
collido01,Doug Collins,SHOOTING GUARD,26,16.9,22.1,79,1978,1975
jonesdw01,Dwight Jones,CENTER,23,15.0,0.0,66,1976,1974
kunneke01,Kevin Kunnert,CENTER,23,17.7,0.0,75,1975,1974
mcneila01,Larry McNeill,POWER FORWARD,23,20.9,0.0,54,1974,1974
washike01,Kermit Washington,POWER FORWARD,28,18.2,16.8,80,1980,1974
wattssl01,Slick Watts,POINT GUARD,24,17.2,0.0,82,1976,1974
weathni01,Nick Weatherspoon,SMALL FORWARD,25,15.8,0.0,64,1976,1974
burleto01,Tom Burleson,CENTER,23,17.8,0.0,82,1976,1975
